Transportation,Housing,Food & Nutrition,Healthcare Access,Economic Stability,Social Environment,Demographics,Clinical Factors,Health Agency
transportation,homeless,groceries,distance to,unemployed,migrant,race,diabetes,health agency
unable to drive,cost of rent,nutritious food,nearest hospital,stable job,no household member renders care,gender,insulin,motivation
,cost of mortgage,nutrition,nearest clinic,,lonely,ethnicity,glucose,expectations
,foreclosure,safe water,internet access,,no social support,disability,obesity,self-efficacy
,living situation,fresh fruit,,,no family support?,,,
,utilities,vegetables,,,patient has no care provider,,,
,assistance with housing,eating healthy,,,,,,
,housing lack,,,,,,,
,mold,,,,,,,
,unsafe neighborhood,,,,,,,
,sanitation,,,,,,,